 Net Value Growth Rate_x_ Equity to Liability, Interest-bearing debt interest rate_div_ Cash/Total Assets, Net Value Growth Rate_x_ Revenue Per Share (Yuan ¥), Net Value Growth Rate_x_ Interest-bearing debt interest rate, Net profit before tax/Paid-in capital_div_ Interest-bearing debt interest rate, Net profit before tax/Paid-in capital_div_ Cash/Total Assets, Interest-bearing debt interest rate_div_ Revenue Per Share (Yuan ¥), Revenue Per Share (Yuan ¥)_div_ Net Value Growth Rate, Interest-bearing debt interest rate_x_ Net profit before tax/Paid-in capital, Net Value Growth Rate_div_ Revenue Per Share (Yuan ¥), Net Value Growth Rate_x_ Net profit before tax/Paid-in capital, Net profit before tax/Paid-in capital_div_ Net Value Growth Rate, Net profit before tax/Paid-in capital, Cash/Total Assets, Revenue Per Share (Yuan ¥)_div_ Cash/Total Assets, Equity to Liability, Cash/Total Assets_div_ Net profit before tax/Paid-in capital,Bankrupt
3.224549843443205e-05,0.0552302178837841,3,1.9693252674736254e-07,405.3786912241361,22.389671657366325,0.0141623159030012,66.92570521046306,7.567027723056779e-05,0.0149416092203142,7.983409773626001e-05,384.2362580408002,0.175145162506598,0.0078225773602293,3.899800015595732,0.0707422420187225,0.0446633912215571,0
1.0533623737963252e-05,0.0091636534064385,9,1.507459560078077e-07,641.1046402470603,5.875043719649687,0.0023243186630733,294.13473082326175,6.607533538211236e-05,0.0033997298755626,9.664694230840255e-05,438.31310640867866,0.205821582082799,0.0350331900755003,3.9425113641088223,0.0224326507495109,0.1702114424486958,0
2.671268747211488e-05,0.0,2,0.0,18721815.8509916,0.7880290664015736,0.0,53.00323721039081,0.0,0.0188663414378188,8.355250052120105e-05,419.49496767241305,0.187218158509916,0.237577722208308,0.0995675627932262,0.0598557808106682,1.2689886035057796,0
9.239351382717796e-06,0.0054869805086691,7,2.2454257025893178e-07,337.5156818225938,1.85197849133298,0.0080221742433896,142.72568170409733,8.677713408924642e-05,0.0070062882087237,7.578813335515752e-05,386.4531098756153,0.171140939597315,0.0924097779096504,0.6839766220587576,0.0208638372117984,0.5399629844703175,0
0.0001500688557932,0.0,0,0.0,16031219.3650554,4.574796088620508,0.0,1.1317666639621584,0.0,0.8835484101910733,0.0001028326402366,249.9167455671872,0.160312193650554,0.0350424685159976,0.0207173060603625,0.23395166569171,0.2185889016433372,0
2.117511047500973e-05,0.0023515143666507,1,1.1427954013151024e-07,622.496217843163,1.4638642412022322,0.0271487025092606,22.46811686189203,4.339581835416479e-05,0.0445064388301311,7.114127588249572e-05,379.72515228506825,0.164361662016439,0.112279296639428,0.0866159975007006,0.0489220400938951,0.6831233538935898,0
5.4057862943615634e-05,0.0,2,0.0,17379533.971797,0.3736604498041818,0.0,27.44765157723234,0.0,0.0364321697511589,8.006019523992461e-05,377.2681835542297,0.17379533971797,0.465115684767932,0.0271851756429464,0.11734925984827,2.67622629444751,0
9.0619680802484e-06,0.009976927810975,7,1.6025654796793986e-07,517.2749869421766,5.16096742435817,0.0065314394732123,109.81263131107154,5.945940344731312e-05,0.0091062261250528,8.289914884347565e-05,371.0185095255696,0.175378930699042,0.0339817837759707,1.527523286383199,0.0191712254482079,0.1937620539873424,0
6.44903006083618e-05,0.0,8,0.0,25395520.6997964,1.418911323135578,0.0,66.35745866967986,0.0,0.0150697183427118,0.0002186810483066,294.91580869369216,0.253955206997964,0.178978903521362,0.319261791688835,0.0748928531630004,0.7047656103981393,0
7.384785321477907e-06,0.0402236683979695,3,3.525710540417778e-07,206.28120961627167,8.297489398969484,0.0263453559241719,70.64737946182314,0.0001353698449552,0.0141544768757749,7.27296812998493e-05,383.9417137752026,0.167106553050298,0.0201394014551146,1.5267835223881636,0.0169675708463632,0.1205183153043053,0
